username,review,nilai,sentimen
hardy yosefan,parah bgt lemotnya! jdi susah pesen tiket!,1,negatif
Karin Nadhea,"Kecewa sih udah berhasil melakukan pembayaran lewat shopeepay tapi tiket barcode tidak ditampilkan, sudah di chat gmail gak pernah di respon.",1,negatif
Indonesia Defence,Sangat mudah dan membantu,5,positif
Bayu Sandra,Tolong di respon PT. KAI aplikasi ini butuh banyak perbaikan misal mau ganti id saja tidak bisa. Mau masuk pasword salah terus padahal pasword benar. Pembatalan tidak bisa dan masih banyak permasalahan yang lain. Di web juga gitu mau login saja susahnya minta ampun padahal email dan pasword benar. Bagkitlah BUMN jadilah perusahaan yang melayani bukan mempersulit,1,negatif
Satu Enam,Ya ampuuuun!!!!! Sudah update versi terbaru tapi cuma muter-muter aja gak bisa kebuka jadi gak bisa beli tiket (KA lokal). Tolong dong diperbaiki!! Kalau beli tiketnya gak online (kalau offline selalu kehabisan) sih gak masalah!!,1,negatif
Anggie Pratami,Lemot parah.,1,negatif
selet dalbo,Saya sudah beli ticket ke 3 kali ini masak tiap ganti kursi di kereta sudah ditempati orang lain dengan tempat duduk yang sama mending gak usah ada menu ganti kursi untuk rute KA Lokal Penataran Dhoho kalau kayak gini merugikan pelanggan.,1,negatif
zaid tkj,"Sering hang, bikin emosi",1,negatif
Alief Alma Alfiana,"Terima kasih KAI, sudah cepat tanggap melayani keluhan pelanggan 🥰",5,positif
Febri Kurniawan,"Request time out tidak bisa di akses, gimana ni developernya?sudah pesan tiket dan sekarang tidak bisa dibuka.",1,negatif
ririn widyastuti,ok,5,positif
5A_Nur Hayyu Mahfida,Kenapa sih keluar keluar terus pas lagi dibuat pilih kursi !?,2,negatif
Sync True,Setiap kali pesan selalu crash ketika mau bayar. Mau pilih kursi juga sangat lambat. Sudah sejak November sampai sekarang belum ada perbaikan. Harus pesan tiket kereta saja harus pakai aplikasi lain.,1,negatif
Ismail Hasan,Untuk melihat kode pembayaran nya bagaimana.?,1,negatif
Maria ulfa,"Saya Sudah Lama Pakai aplikasi ini,Tadi nya Bagus.sejak Pandemi Covid,sy tidak bepergian.Sekarang,Mau Login KOK TIDAK BISA YA!!.mau Daftar Ulang, TIDAK BISA! , Katanya nmor Telepon sudah terdaftar (karena kan dulu sudah terdaftar di aplikasi ini, Gimana sih?!!). Tolong Dong Tanggapan dari KAI Access ,gimana...??? Terimakasih",2,negatif
Mad RankX,Aplikasi sering gagal merespon di MI MAX 2. Versi android 7.1.1,3,negatif
Nur yusuf Habibi,Lemot,1,negatif
indana putri,"SANGAT LAMBAT ! MULAI DARI MENU ISI DATA PENUMPANG, TIDAK BISA DIAKSES!",1,negatif
you tube Anwar,Mantap memudahkan saya untuk pesen tiket tanpa ribet antrik loket,5,positif
muhammad emeraldo,"Sangat merugikan banyak orang, aplikasi sering tidak merespon dan keluar sendiri Tolong diperbaiki segera",1,negatif
Bayu Arnell,1 hal yg masih kurang. Tidak ada pembatalan tiket KA lokal,2,negatif
Aliuddin Al-Misri,"Apk modar developer pelayan rakyat milik BUMN malas setengah hati bertepuk sebelah tangan. Metode pembayaran tanpa banyak pilihan cuman 1,00,000.",1,negatif
Wike,Hak bisa tambah penumpang. Dahlah tolong kai jangan dipersulitttt..... tolong dong diperhatiin aplikasi inii,1,negatif
p,Nggak bisa daftar apa ini,1,negatif
Satriya Agung,"Hallo selamat pagi admin, Saya kecewa Pembayaran lewat E walet link aja selalu gagal, Terus saya juga sudah gunakan Qris, dan bayar pake apk Dana Dua kali juga gagal saldo juga sudah kepotong, tulisan pembayaran berhasil tapi kenapa tidak muncul di laman Tiket ya, keterangan masih belom dibayar ini bagaimana, tolong pertanggungjawaban nya, karena sekarang jadi susah gini, padahal kemaren Aman aman aja. Terimakasih",1,negatif
Derr Ry,Eror mulu. Detail penumpang ga bisa di ganti. Tolong lah perbaiki. Ini aplikasi satu2nya untuk pesan tiket kereta api lokal.,1,negatif
veby cahyono,"Aplikasinya aneh, lemot gak jelas",1,negatif
vika risnanita,Daftar akun kog nomer hpnya uda terdaftar padahal belum bikin akun.. Aneh sihh,1,negatif
SUSILO MARTONO,"Matur Sembah Muwun KAI, Adanya Aplikasi KAI Accees telah wujudkan Layanan Prima KAI pada pelanggan khususnya pada kami yang sudah lanjut Usia.",5,positif
vika risnanita,Daftar akun kog nomer hpnya uda terdaftar padahal belum bikin akun.. Aneh sihh,1,negatif
lukman hakim,"Pas nge klik satu hal ke hal lain lamanya bisa lebih dari 2 menit, terus tiba tiba karena lama loading nya jadinya waktu pemesanan nya terbatalkan, padahal hp saya itu cukup kuat dan aplikasi lainnya di hp saya berjalan lancar dan memori hp saya tidak penuh, tolong dong perbaiki pengembangnya ini aplikasi hadeuh",1,negatif
lukman hakim,"Pas nge klik satu hal ke hal lain lamanya bisa lebih dari 2 menit, terus tiba tiba karena lama loading nya jadinya waktu pemesanan nya terbatalkan, padahal hp saya itu cukup kuat dan aplikasi lainnya di hp saya berjalan lancar dan memori hp saya tidak penuh, tolong dong perbaiki pengembangnya ini aplikasi hadeuh",1,negatif
Umy Muthihlathifah,"Sulit buat login, klik daftar nomor sudah terdaftar giliran klik masuk isi nomor tapi malah nomor tidak valid",1,negatif
Umy Muthihlathifah,"Sulit buat login, klik daftar nomor sudah terdaftar giliran klik masuk isi nomor tapi malah nomor tidak valid",1,negatif
mbelgedes benz,"Bintang 1 aja. Udah update versi terbaru (4.9.0, 17 Januari 2022) tetep aja nggak bisa login. Muter bentar terus diem doang nggak terjadi apa-apa. PAYAH.",1,negatif
mbelgedes benz,"Bintang 1 aja. Udah update versi terbaru (4.9.0, 17 Januari 2022) tetep aja nggak bisa login. Muter bentar terus diem doang nggak terjadi apa-apa. PAYAH.",1,negatif
dummy dummy hahaha,"Masa abis diisi saldo pesen ngelag mulu sampe gagal pesen tiket , server benerin woyyy.!!!!!!",1,negatif
desi mandela,sip lah....,5,positif
Rudi Wahonoo,Cukup bagus aplikasinya,5,positif
Rudi Wahonoo,Cukup bagus aplikasinya,5,positif
Jaelani Zeini,"Mantab betul, ini baru keren",5,positif
Jaelani Zeini,"Mantab betul, ini baru keren",5,positif
dummy dummy hahaha,"Masa abis diisi saldo pesen ngelag mulu sampe gagal pesen tiket , server benerin woyyy.!!!!!!",1,negatif
Bayu Yulindra,"Aplikasi ga jelas, untuk rubah data diri saja susah nya setengah mati",1,negatif
Bayu Yulindra,"Aplikasi ga jelas, untuk rubah data diri saja susah nya setengah mati",1,negatif
nuril usman,Aplikasinya jadi lambat. Mau login gak bisa. Gak kayak dulu. Serba mudah.,1,negatif
Siti Fatimah,Mohon di stasiun tanggul diberikan fasilitas test rapidt..soalnya susah daerah sana..🙏🙏,5,positif
Siti Fatimah,Mohon di stasiun tanggul diberikan fasilitas test rapidt..soalnya susah daerah sana..🙏🙏,5,positif
Sukirman 1503,ok,4,positif
Achmad Yudo,Agar registrasi untuk antigen ditambahkan difiturnya,3,netral
Achmad Yudo,Agar registrasi untuk antigen ditambahkan difiturnya,3,netral
BANG HELLOWW,Ini kenapa kok apk yang saya download versi nya 4.8.0 bukanya 4.9.0,4,netral
BANG HELLOWW,Ini kenapa kok apk yang saya download versi nya 4.8.0 bukanya 4.9.0,4,netral
nuril usman,Aplikasinya jadi lambat. Mau login gak bisa. Gak kayak dulu. Serba mudah.,1,negatif
Ka Setia,"Awalnya suka, pesen tiket jadi gampang, tapi sekarang Kenapa apknya kekeluar sendiri terus? Tolong diperbaiki lagi!",2,negatif
marlan d,Mantab,5,positif
ipung purnawardi,Sangat membantu konsumen,4,positif
ipung purnawardi,Sangat membantu konsumen,4,positif
Ka Setia,"Awalnya suka, pesen tiket jadi gampang, tapi sekarang Kenapa apknya kekeluar sendiri terus? Tolong diperbaiki lagi!",2,negatif
fatkhulrohman yusuf,"aplikasi parah, cuman legalitas doang",1,negatif
Eis Khoerunisa,"Sumpah mau pesen 1 tiket aja susah bgt lemot, tibaw keluar. Astaga...",3,negatif
Eis Khoerunisa,"Sumpah mau pesen 1 tiket aja susah bgt lemot, tibaw keluar. Astaga...",3,negatif
Guruh Ardiyanto,"Kok punya saya ga bisa masuk ya, padahal udah diperbarui",4,negatif
Guruh Ardiyanto,"Kok punya saya ga bisa masuk ya, padahal udah diperbarui",4,negatif
Khusnul cantik,"Gk ngerti deh ribet bnget ,,msak baru daftar No ID sudah d'gunakan,,trs gmn q daftrax,,mw kmn2 naik kereta sakrang susuah",1,negatif
Rian Fauzi,Semoga saya bisa menjadi pegawai PT.KAI .....amin ya allloh,5,positif
Rian Fauzi,Semoga saya bisa menjadi pegawai PT.KAI .....amin ya allloh,5,positif
Khusnul cantik,"Gk ngerti deh ribet bnget ,,msak baru daftar No ID sudah d'gunakan,,trs gmn q daftrax,,mw kmn2 naik kereta sakrang susuah",1,negatif
Oscar Verozzian,Aplikasi lambat banget,1,negatif
Suparni Sukiyem,"Dulu kalau mau melihat nama KA, jurusan mana , jam berapa gampang, sekarang kok angel, artinya saya tidak bisa",5,negatif
Suparni Sukiyem,"Dulu kalau mau melihat nama KA, jurusan mana , jam berapa gampang, sekarang kok angel, artinya saya tidak bisa",5,negatif
Oscar Verozzian,Aplikasi lambat banget,1,negatif
rahman sya'fiyu,Kok eror.. forbidden terus.. went wrong.. kenapa? Ga jelas aplikasinya,2,negatif
dika richiers,Sgt mmbntu,5,positif
rahman sya'fiyu,Kok eror.. forbidden terus.. went wrong.. kenapa? Ga jelas aplikasinya,2,negatif
Alfian sigit,mau pesan tiket harus verifikasi ulang...bukannya mempermudah pemesanan tiket tapi malah mempersulit....tidak membantu customer...,1,negatif
hadi biyantoro,pelayanan semakin bagus,3,positif
shafwa zahirah,Mantap,5,positif
Sumarmi Nyemit,Putih tok,5,positif
131_Olinda Apriyanti_1D,Tiap milih sheet mesti force close heran,1,negatif
Adifa Khanza,Crny ngubah akun kok gk bisa kak...mhn dbntu,5,netral
Adifa Khanza,Crny ngubah akun kok gk bisa kak...mhn dbntu,5,netral
Eddy Purnomo,Ok,5,positif
131_Olinda Apriyanti_1D,Tiap milih sheet mesti force close heran,1,negatif
