jdi,"'jdi',"
sih,"'sih',"
di,"'di',"
ini,"'ini',"
ya,"'ya',"
aja,"'aja',"
dong,"'dong',"
ke,"'ke',"
ni,"'ni',"
nya,"'nya',"
inii,"'inii',"
yah,"'yah',"
gini,"'gini',"
lah,"'lah',"
kog,"'kog',"
sihh,"'sihh',"
pas,"'pas',"
nge,"'nge',"
itu,"'itu',"
woyyy,"'woyyy',"
deh,"'deh',"
g,"'g',"
dah,"'dah',"
duh,"'duh',"
yg,"'yg',"
udh,"'udh',"
n,"'n',"
kok,"'kok',"
lol,"'lol',"
kan,"'kan',"
se,"'se',"
sh,"'sh',"
wkwk,"'wkwk',"
jg,"'jg',"
klo,"'klo',"
d,"'d',"
dh,"'dh',"
huhuhuhu,"'huhuhuhu',"
jd,"'jd',"
akses,"'akses',"
ttg,"'ttg',"
ih,"'ih',"
dst,"'dst',"
nih,"'nih',"
it,"'it',"
woe,"'woe',"
mnt,"'mnt',"
trs,"'trs',"
ana,"'ana',"
mo,"'mo',"
loh,"'loh',"
mw,"'mw',"
yaa,"'yaa',"
min,"'min',"
ny,"'ny',"
dr,"'dr',"
kak,"'kak',"
tadi,"'tadi',"
eh,"'eh',"
zzzzz,"'zzzzz',"
tpi,"'tpi',"
wa,"'wa',"
san,"'san',"
si,"'si',"
pp,"'pp',"
or,"'or',"
ny,"'ny',"
lg,"'lg',"
va,"'va',"
sm,"'sm',"
eeeeeeh,"'eeeeeeh',"
eeeeeeeeh,"'eeeeeeeeh',"
dg,"'dg',"
lgi,"'lgi',"
ta,"'ta',"
hhadeh,"'hhadeh',"
kek,"'kek',"
heh,"'heh',"
td,"'td',"
kl,"'kl',"
tsb,"'tsb',"
lo,"'lo',"
ehhh,"'ehhh',"
in,"'in',"
af,"'af',"
si,"'si',"
dll,"'dll',"
k,"'k',"
a,"'a',"
lgyy,"'lgyy',"
kyk,"'kyk',"
ko,"'ko',"
nah,"'nah',"
kya,"'kya',"
ber,"'ber',"
oy,"'oy',"
nya,"'nya',"
iya,"'iya',"
sll,"'sll',"
sj,"'sj',"
koq,"'koq',"
ad,"'ad',"
cb,"'cb',"
bos,"'bos',"
boyy,"'boyy',"
gi,"'gi',"
dear,"'dear',"
sich,"'sich',"
loe,"'loe',"
boss,"'boss',"
m,"'m',"
skr,"'skr',"
duuh,"'duuh',"
hmm,"'hmm',"
akpdjskjdjhx,"'akpdjskjdjhx',"
kx,"'kx',"
xkvx,"'xkvx',"
msv,"'msv',"
sovd,"'sovd',"
hhxgjdvdjn,"'hhxgjdvdjn',"
fkfvdjkf,"'fkfvdjkf',"
fibjd,"'fibjd',"
dibjdejjeks,"'dibjdejjeks',"
b,"'b',"
dkkdhldbd,"'dkkdhldbd',"
tu,"'tu',"
lsg,"'lsg',"
lg,"'lg',"
yach,"'yach',"
ud,"'ud',"
tb,"'tb',"
gb,"'gb',"
l,"'l',"
sih,"'sih',"
min,"'min',"
lu,"'lu',"
haa,"'haa',"
kah,"'kah',"
og,"'og',"
da,"'da',"
lho,"'lho',"
yaaa,"'yaaa',"
la,"'la',"
an,"'an',"
nua,"'nua',"
x,"'x',"
lahh,"'lahh',"
ihhh,"'ihhh',"
aduuh,"'aduuh',"
ya,"'ya',"
dehhh,"'dehhh',"
pak,"'pak',"
peaen,"'peaen',"
tuh,"'tuh',"
bafu,"'bafu',"
gl,"'gl',"
un,"'un',"
dsb,"'dsb',"
gag,"'gag',"
mlh,"'mlh',"
dih,"'dih',"
saja,"'saja',"
hal,"'hal',"
seee,"'seee',"
haduhh,"'haduhh',"
bin,"'bin',"
nohp,"'nohp',"
cm,"'cm',"
pny,"'pny',"
gt,"'gt',"
wong,"'wong',"
dongggggggg,"'dongggggggg',"
aj,"'aj',"
aa,"'aa',"
qa,"'qa',"
ini,"'ini',"
bozz,"'bozz',"
in,"'in',"
c,"'c',"
bs,"'bs',"
ileh,"'ileh',"
dn,"'dn',"
gx,"'gx',"
luhg,"'luhg',"
loohh,"'loohh',"
sh,"'sh',"
nie,"'nie',"
lh,"'lh',"
hhh,"'hhh',"
ahelah,"'ahelah',"
donk,"'donk',"
y,"'y',"
ky,"'ky',"
hey,"'hey',"
ini,"'ini',"
ku,"'ku',"
ne,"'ne',"
ap,"'ap',"
lurrrr,"'lurrrr',"
jga,"'jga',"
ato,"'ato',"
ehsdh,"'ehsdh',"
